trialname,simulation_number,max_simulation_time,outcome,endpoint_x,endpoint_y,bounces,simulation_time
contain_sc1_var_l1_complex_l1,1,60,REDGOAL,252.74555217823658,143.7340226361681,8,12.050000000000036
contain_sc1_var_l1_complex_l1,2,60,REDGOAL,298.24529817199874,146.99992762270682,18,26.250000000000238
contain_sc1_var_l1_complex_l1,3,60,TIMEUP,168.70868882954605,282.8874218883951,44,60.049999999998725
contain_sc1_var_l1_complex_l1,4,60,REDGOAL,330.5840777451871,143.04801956260576,2,3.349999999999996
contain_sc1_var_l1_complex_l1,5,60,TIMEUP,537.1033853299668,395.63791102142545,42,60.049999999998725
contain_sc1_var_l1_complex_l1,6,60,REDGOAL,329.1040047383204,149.4920184491058,6,8.249999999999982
contain_sc1_var_l1_complex_l1,7,60,REDGOAL,242.5178863402542,140.47735114863306,6,9.049999999999994
contain_sc1_var_l1_complex_l1,8,60,REDGOAL,290.8196255641545,149.24605739333617,25,38.44999999999995
contain_sc1_var_l1_complex_l1,9,60,REDGOAL,354.6280058033417,146.5737022983779,2,2.6999999999999984
contain_sc1_var_l1_complex_l1,10,60,REDGOAL,264.641145425035,149.803320936063,15,19.000000000000135
contain_sc1_var_l1_complex_l1,11,60,REDGOAL,297.0992852603334,146.06222889485295,2,3.349999999999996
contain_sc1_var_l1_complex_l1,12,60,REDGOAL,335.2463899739039,143.61508781083768,2,3.399999999999996
contain_sc1_var_l1_complex_l1,13,60,REDGOAL,334.4746825416602,143.6747600746839,2,3.399999999999996
contain_sc1_var_l1_complex_l1,14,60,REDGOAL,315.0000888239659,139.50956343409555,7,9.55
contain_sc1_var_l1_complex_l1,15,60,REDGOAL,304.415184878204,143.00634901528915,2,3.399999999999996
contain_sc1_var_l1_complex_l1,16,60,REDGOAL,347.6285233234978,139.56296351891206,2,3.399999999999996
contain_sc1_var_l1_complex_l1,17,60,REDGOAL,289.14359860026235,149.42294734895603,2,3.4499999999999957
contain_sc1_var_l1_complex_l1,18,60,REDGOAL,325.2511360251303,149.82984945980905,9,12.100000000000037
contain_sc1_var_l1_complex_l1,19,60,REDGOAL,257.99389357540474,147.5286723180125,27,38.14999999999997
contain_sc1_var_l1_complex_l1,20,60,REDGOAL,273.9779188656995,148.72022761137114,16,20.15000000000015
contain_sc1_var_l1_complex_l1,21,60,REDGOAL,281.2722251421351,143.95640961818717,15,23.5500000000002
contain_sc1_var_l1_complex_l1,22,60,REDGOAL,353.6959025211723,147.38947059496954,3,5.449999999999989
contain_sc1_var_l1_complex_l1,23,60,REDGOAL,350.3610928227884,145.15326254031936,3,3.349999999999996
contain_sc1_var_l1_complex_l1,24,60,TIMEUP,215.50453461469883,369.7662873870632,40,60.049999999998725
contain_sc1_var_l1_complex_l1,25,60,REDGOAL,265.550357782178,147.79955110950272,2,3.599999999999995
contain_sc1_var_l1_complex_l1,26,60,REDGOAL,238.4813440417688,139.44951977653852,13,20.65000000000016
contain_sc1_var_l1_complex_l1,27,60,REDGOAL,360.7237033685973,142.72424590617595,11,14.40000000000007
contain_sc1_var_l1_complex_l1,28,60,REDGOAL,353.6048016452401,143.2439599620569,12,14.950000000000077
contain_sc1_var_l1_complex_l1,29,60,REDGOAL,331.17449886638644,140.8619372721623,3,5.549999999999988
contain_sc1_var_l1_complex_l1,30,60,REDGOAL,362.50782856207917,139.8350487333132,17,22.000000000000178
contain_sc1_var_l1_complex_l1,31,60,REDGOAL,339.1060935515434,148.8073237655239,17,24.550000000000214
contain_sc1_var_l1_complex_l1,32,60,REDGOAL,266.27596466219364,146.9956731320164,25,37.45000000000001
contain_sc1_var_l1_complex_l1,33,60,REDGOAL,352.89031744003034,145.8117800933196,17,23.000000000000192
contain_sc1_var_l1_complex_l1,34,60,REDGOAL,281.27428440690363,146.51063086227998,7,9.750000000000004
contain_sc1_var_l1_complex_l1,35,60,REDGOAL,255.27509563339765,145.1779470016936,4,5.999999999999987
