trialname,outcome,endpoint_x,endpoint_y,bounces,tsims
contain_sc1_var_l1_complex_l1,REDGOAL,325.1385433622953,147.85397507908039,2,3.349999999999996
contain_sc1_var_l1_complex_l1,REDGOAL,256.62540672539023,145.83609404616797,4,5.949999999999987
contain_sc1_var_l1_complex_l1,TIMEUP,356.32582028505715,253.122468054033,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,112.08685293264611,408.18748110207184,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,152.05337193327355,435.9007939013041,8,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,244.3435460209159,144.94971737279127,2,3.699999999999995
contain_sc1_var_l1_complex_l1,REDGOAL,354.17055813102473,144.2045245899693,5,5.849999999999987
contain_sc1_var_l1_complex_l1,REDGOAL,349.1239454211029,140.0979047254008,2,3.349999999999996
contain_sc1_var_l1_complex_l1,REDGOAL,283.8125922276745,138.6978406638782,4,6.799999999999984
contain_sc1_var_l1_complex_l1,REDGOAL,362.9552431698119,143.0976890926971,2,3.349999999999996
contain_sc1_var_l1_complex_l1,REDGOAL,349.7277197298032,148.1554985379583,5,6.8999999999999835
contain_sc1_var_l1_complex_l1,REDGOAL,237.43250692247844,144.3793370578042,2,3.649999999999995
contain_sc1_var_l1_complex_l1,TIMEUP,101.4902929484984,453.8550620654966,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,508.5075442479167,385.3336878567652,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,470.03405783025687,155.97350050391898,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,87.39261760653123,249.1226571649867,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,351.12610160971076,451.3262205650348,7,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,358.7976448136244,138.61875421693207,2,3.349999999999996
contain_sc1_var_l1_complex_l1,TIMEUP,253.5586403806313,171.03884274053357,7,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,281.5393996470002,204.72874126521404,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,261.79273289580055,405.59112888324245,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,75.58613776463784,476.4756730854081,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,150.5175276861409,486.7683044563913,8,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,240.2242991155812,143.14357578375305,2,3.649999999999995
contain_sc1_var_l1_complex_l1,REDGOAL,260.8045206936104,143.91004299613348,2,3.5499999999999954
contain_sc1_var_l1_complex_l1,REDGOAL,329.19453440104087,142.40385611693588,4,6.0499999999999865
contain_sc1_var_l1_complex_l1,TIMEUP,142.78586075541352,462.2663976412668,8,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,348.72919190484544,147.7478311566627,2,3.399999999999996
contain_sc1_var_l1_complex_l1,REDGOAL,255.20538469307303,144.7913802862021,3,4.94999999999999
